CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal (RM),Total_Trans_Amt (RM),Total_Trans_Ct
779338683,Existing Customer,62,M,1,Graduate,Married,RM60K - RM80K,Blue,44,14825,962,1904,49
783387783,Existing Customer,55,M,2,Uneducated,Divorced,RM60K - RM80K,Blue,49,10127,1873,1647,53
787800108,Existing Customer,55,M,2,College,Married,RM80K - RM120K,Blue,45,2929,2431,1903,39
721397808,Existing Customer,32,M,0,High School,Married,RM40K - RM60K,Blue,24,3735,1176,1564,41
778698408,Existing Customer,37,F,4,Uneducated,Married,Less than RM40K,Blue,18,2930,2024,1686,34
709545333,Existing Customer,33,F,4,High School,Single,Unknown,Blue,29,12716,1496,2412,64
716032233,Existing Customer,42,M,2,College,Married,RM80K - RM120K,Blue,32,22120,1805,3981,65
717835908,Existing Customer,33,M,2,Post-Graduate,Married,RM80K - RM120K,Blue,22,1438.3,681,2730,48
719466558,Existing Customer,60,F,0,High School,Single,Unknown,Blue,36,4546,0,1361,34
778663458,Attrited Customer,65,M,1,High School,Married,Less than RM40K,Blue,47,1759,0,821,18
716024808,Attrited Customer,57,M,1,Graduate,Married,RM80K - RM120K,Blue,36,4829,2418,938,21
713008308,Existing Customer,59,F,0,Unknown,Married,Less than RM40K,Blue,47,7692,1678,1861,42
794831733,Existing Customer,45,F,5,Graduate,Married,Less than RM40K,Blue,39,2156,1208,1345,28
713854608,Existing Customer,62,M,1,Uneducated,Married,RM60K - RM80K,Blue,36,9521,1669,2444,63
715993608,Existing Customer,51,M,2,College,Single,RM120K +,Blue,41,26714,2517,1686,50
789368658,Existing Customer,57,M,2,Graduate,Married,RM80K - RM120K,Blue,47,2092,1387,1468,30
802817358,Existing Customer,38,F,3,High School,Married,Unknown,Blue,32,11594,2072,2320,51
708098133,Existing Customer,32,F,0,Graduate,Married,Less than RM40K,Blue,19,2834,1418,1598,39
801499908,Existing Customer,43,F,4,Graduate,Married,Less than RM40K,Blue,37,4724,2056,1232,31
824770683,Existing Customer,51,F,0,Unknown,Divorced,Less than RM40K,Blue,47,3049,1151,4027,76
718310733,Existing Customer,50,M,2,Unknown,Divorced,RM80K - RM120K,Blue,36,20614,0,1922,48
708162558,Existing Customer,64,F,0,Uneducated,Married,Unknown,Blue,54,3250,1992,1355,36
721129383,Existing Customer,53,F,1,Doctorate,Married,Less than RM40K,Blue,36,3128,2517,2361,42
721249158,Attrited Customer,42,M,2,Uneducated,Single,RM60K - RM80K,Blue,30,6414,0,708,14
721049658,Existing Customer,53,M,3,Graduate,Single,RM80K - RM120K,Blue,34,2506,0,1687,62
806392908,Existing Customer,52,F,4,High School,Single,Unknown,Blue,47,7469,2338,1212,33
714886533,Existing Customer,60,F,2,High School,Married,Less than RM40K,Blue,36,3460,2517,1752,34
772375533,Existing Customer,30,M,1,Graduate,Married,RM80K - RM120K,Blue,19,9959,2377,1560,39
826775058,Existing Customer,43,F,3,Uneducated,Married,Less than RM40K,Blue,39,4175,2517,1520,36
711878733,Existing Customer,60,M,1,Uneducated,Married,RM60K - RM80K,Blue,48,10264,2073,1685,45
714550383,Existing Customer,46,M,2,High School,Single,RM40K - RM60K,Blue,36,4129,0,1678,40
712636308,Existing Customer,65,F,2,High School,Married,RM40K - RM60K,Blue,45,2658,1514,1627,26
772139433,Existing Customer,44,F,2,College,Single,RM40K - RM60K,Blue,33,4589,1240,1637,61
709058808,Existing Customer,56,F,2,College,Married,Less than RM40K,Blue,36,2781,1035,1707,42
813240408,Existing Customer,45,F,4,High School,Married,Unknown,Blue,39,24880,836,1208,25
767753958,Existing Customer,37,M,3,Graduate,Unknown,RM40K - RM60K,Blue,31,8504,1956,1881,51
710111733,Existing Customer,48,M,2,High School,Married,RM80K - RM120K,Blue,39,8091,1996,1360,28
761544333,Existing Customer,37,F,4,College,Married,RM40K - RM60K,Blue,30,3417,2517,1641,32
788814783,Existing Customer,39,M,1,Uneducated,Single,RM60K - RM80K,Blue,22,9204,845,1820,58
715034358,Existing Customer,41,M,2,Graduate,Married,RM120K +,Blue,32,14302,2097,1505,35
709624533,Existing Customer,55,F,2,High School,Married,Less than RM40K,Blue,45,3187,2517,1627,38
709942383,Existing Customer,34,M,1,Graduate,Married,RM80K - RM120K,Blue,36,6313,782,1703,34
803957508,Existing Customer,52,M,2,Unknown,Single,RM80K - RM120K,Blue,47,15904,1024,1433,33
713378133,Existing Customer,54,F,0,Post-Graduate,Single,Less than RM40K,Silver,39,11696,2288,2445,60
709217358,Existing Customer,40,M,3,Post-Graduate,Married,RM80K - RM120K,Blue,36,20371,1832,1665,45
720998358,Existing Customer,52,M,0,High School,Married,RM120K +,Silver,41,34516,1043,1489,38
721051908,Existing Customer,45,M,3,Graduate,Single,RM60K - RM80K,Blue,33,7552,0,1393,32
715232058,Existing Customer,61,M,0,Post-Graduate,Married,RM40K - RM60K,Blue,53,5561,1434,1820,42
806250783,Existing Customer,57,F,2,High School,Married,Less than RM40K,Blue,52,1441,0,2742,58
817245183,Existing Customer,51,M,2,Unknown,Unknown,RM120K +,Blue,33,19715,1014,1979,40
713670333,Existing Customer,60,M,1,Unknown,Single,Less than RM40K,Blue,52,2486,1464,1378,27
826477083,Existing Customer,48,F,2,College,Married,Less than RM40K,Blue,44,4570,2439,1520,34
788728608,Existing Customer,34,M,0,High School,Married,RM40K - RM60K,Blue,13,3870,1394,1588,36
717190533,Existing Customer,49,M,4,High School,Married,RM60K - RM80K,Blue,36,12938,661,1282,32
716580033,Existing Customer,53,M,3,High School,Married,RM120K +,Blue,36,21178,1796,1872,59
711644508,Existing Customer,34,M,2,Uneducated,Single,RM80K - RM120K,Blue,36,12182,1136,2295,63
714334383,Existing Customer,54,M,2,Graduate,Married,RM60K - RM80K,Blue,42,3583,0,1065,28
720611058,Existing Customer,40,M,3,Graduate,Single,RM120K +,Blue,27,17018,0,1550,47
712420833,Existing Customer,49,F,5,College,Single,Unknown,Blue,41,16031,2245,1527,57
713845083,Attrited Customer,41,F,4,High School,Single,Less than RM40K,Blue,36,4203,2517,1489,43
713756508,Existing Customer,46,M,3,Graduate,Divorced,Less than RM40K,Blue,36,4213,997,1264,30
735565158,Existing Customer,46,M,4,Graduate,Married,RM60K - RM80K,Blue,33,21548,1180,1582,38
714131058,Existing Customer,30,M,0,Graduate,Unknown,RM60K - RM80K,Blue,36,18513,2517,1567,33
717180633,Existing Customer,59,M,1,Post-Graduate,Married,RM40K - RM60K,Blue,36,2483,1372,1704,35
717295683,Existing Customer,50,M,0,Doctorate,Single,RM80K - RM120K,Blue,38,3460,1881,1546,35
713128833,Existing Customer,49,M,2,Unknown,Unknown,RM60K - RM80K,Blue,36,6511,1790,1478,38
813499458,Attrited Customer,45,M,5,High School,Unknown,RM60K - RM80K,Blue,40,1438.3,0,2132,31
710070183,Existing Customer,53,F,1,High School,Single,Less than RM40K,Blue,36,2615,1772,1419,38
789605658,Existing Customer,42,F,1,Doctorate,Married,RM40K - RM60K,Blue,35,2985,2355,1065,27
710045058,Existing Customer,46,M,5,High School,Married,RM40K - RM60K,Silver,28,18797,2158,1364,40
710164683,Existing Customer,33,M,1,Graduate,Married,RM60K - RM80K,Blue,22,2859,2517,2247,36
710802258,Existing Customer,46,F,2,Graduate,Married,Less than RM40K,Blue,38,2888,2245,1111,26
721036233,Existing Customer,61,M,0,High School,Married,RM60K - RM80K,Blue,36,9172,1567,1836,42
710036508,Existing Customer,42,M,5,Uneducated,Married,RM40K - RM60K,Blue,34,14281,1519,1164,35
717776808,Existing Customer,47,F,4,Graduate,Single,Less than RM40K,Blue,39,7353,1450,2005,54
714906033,Existing Customer,47,F,2,Graduate,Single,Less than RM40K,Blue,36,5145,0,1588,35
714273708,Existing Customer,53,F,4,Graduate,Married,RM40K - RM60K,Blue,36,4753,2472,2242,49
721117533,Existing Customer,46,F,3,Graduate,Single,Less than RM40K,Blue,26,2171,1418,1415,45
715374558,Existing Customer,26,M,0,College,Divorced,Less than RM40K,Blue,36,4150,456,2483,74
824807658,Existing Customer,45,M,3,Graduate,Married,RM60K - RM80K,Blue,41,9106,2477,1239,33
714940608,Existing Customer,36,M,2,High School,Divorced,RM40K - RM60K,Blue,36,2686,1733,2057,53
824782008,Existing Customer,42,M,3,High School,Unknown,RM60K - RM80K,Blue,38,10239,510,1228,26
717561108,Existing Customer,52,M,1,Graduate,Married,RM80K - RM120K,Blue,36,34516,549,1629,32
717127083,Existing Customer,37,M,3,Graduate,Married,RM120K +,Blue,25,15017,1733,2076,58
772460508,Existing Customer,53,M,1,Uneducated,Married,RM40K - RM60K,Blue,43,4426,1530,1231,34
720484908,Existing Customer,65,F,1,Post-Graduate,Married,RM40K - RM60K,Blue,52,2155,0,1655,27
771237933,Existing Customer,47,M,1,Uneducated,Unknown,RM80K - RM120K,Blue,34,20620,1085,1477,23
794664183,Existing Customer,38,M,0,Uneducated,Married,RM60K - RM80K,Blue,19,3238,2146,1501,45
797488158,Existing Customer,52,M,2,High School,Married,RM60K - RM80K,Blue,46,14316,1081,1313,36
708543258,Existing Customer,36,M,3,High School,Married,RM80K - RM120K,Blue,36,2607,1880,2045,39
778706508,Existing Customer,43,M,4,College,Married,RM60K - RM80K,Blue,24,6231,0,1448,30
712240083,Attrited Customer,38,F,3,Unknown,Single,Less than RM40K,Blue,30,3730,2517,858,22
713650683,Existing Customer,65,F,0,Graduate,Married,Less than RM40K,Blue,56,3094,2266,1591,37
772532208,Attrited Customer,51,F,2,Doctorate,Married,Less than RM40K,Blue,41,6630,916,842,24
778929783,Attrited Customer,40,M,3,Graduate,Divorced,RM80K - RM120K,Blue,22,1925,0,781,28
714244383,Existing Customer,39,M,3,College,Unknown,RM80K - RM120K,Blue,36,33406,1692,1529,30
718797558,Existing Customer,39,F,1,Graduate,Married,Unknown,Blue,30,2917,1357,2422,46
712821333,Existing Customer,60,M,0,Uneducated,Married,RM60K - RM80K,Blue,47,9452,2517,1825,50
721120008,Existing Customer,43,F,2,Uneducated,Single,RM40K - RM60K,Blue,29,2162,1377,1555,29
709633533,Existing Customer,31,M,2,Uneducated,Married,Less than RM40K,Blue,18,1438.3,0,2789,50
710789058,Existing Customer,55,M,1,Graduate,Single,RM120K +,Blue,42,34516,1478,1308,41
716174433,Existing Customer,65,F,1,College,Married,Less than RM40K,Blue,54,2888,1134,2489,54
789886533,Existing Customer,54,F,1,High School,Married,Less than RM40K,Blue,44,3947,1746,1110,21
715210308,Existing Customer,40,F,1,High School,Married,Unknown,Blue,31,15970,1212,1260,32
721038408,Existing Customer,38,F,2,High School,Married,Less than RM40K,Blue,27,1830,0,1741,43
713325108,Existing Customer,36,M,2,Post-Graduate,Married,RM60K - RM80K,Blue,29,7712,2517,1845,40
720352533,Existing Customer,43,M,3,High School,Unknown,RM60K - RM80K,Blue,36,20811,1425,1483,38
708431433,Existing Customer,41,M,3,Graduate,Married,RM120K +,Blue,31,11789,1420,1463,32
716996583,Existing Customer,50,M,3,High School,Divorced,RM120K +,Blue,37,3073,1792,1734,35
718699683,Existing Customer,48,M,3,College,Married,RM80K - RM120K,Silver,36,34516,0,1733,54
771359958,Existing Customer,39,M,4,Unknown,Single,RM120K +,Silver,26,34516,2517,1689,42
716604633,Existing Customer,55,F,2,Post-Graduate,Married,RM40K - RM60K,Blue,46,6725,2025,1865,53
813952233,Existing Customer,44,M,3,Graduate,Unknown,Less than RM40K,Blue,39,2978,2134,1413,46
713053383,Attrited Customer,42,M,3,Graduate,Married,RM80K - RM120K,Blue,36,34516,781,853,12
709979583,Existing Customer,54,M,3,Graduate,Married,RM120K +,Blue,46,34516,854,1999,54
709380333,Existing Customer,57,M,1,Uneducated,Married,RM120K +,Blue,36,24545,1735,1671,45
778574283,Existing Customer,53,F,1,Uneducated,Married,RM40K - RM60K,Blue,46,1438.3,0,2118,64
789875883,Existing Customer,41,F,4,Uneducated,Single,Less than RM40K,Blue,31,2490,627,1391,45
714661233,Existing Customer,39,M,1,Graduate,Single,RM120K +,Blue,24,10074,2517,1729,52
813915933,Existing Customer,45,M,2,Graduate,Divorced,RM40K - RM60K,Blue,40,2259,954,1393,35
708358683,Existing Customer,46,M,2,Graduate,Married,RM80K - RM120K,Silver,35,34516,1236,1665,40
824761458,Existing Customer,54,M,2,High School,Married,RM80K - RM120K,Blue,50,9519,1936,2489,62
715362183,Existing Customer,40,F,4,Graduate,Married,Unknown,Blue,36,3706,1043,1688,38
721194858,Existing Customer,48,M,4,Graduate,Unknown,RM80K - RM120K,Blue,40,4438,2472,1725,60
803595858,Attrited Customer,56,F,3,High School,Married,RM40K - RM60K,Blue,51,1438.3,0,594,14
716198358,Existing Customer,33,F,4,Post-Graduate,Married,RM40K - RM60K,Blue,36,2372,1887,1852,55
714173808,Existing Customer,44,F,4,Graduate,Single,Less than RM40K,Blue,34,4214,1249,1389,34
709465758,Existing Customer,62,F,1,Post-Graduate,Married,Less than RM40K,Blue,53,1438.3,0,902,31
714081558,Existing Customer,33,F,0,Graduate,Married,Unknown,Blue,36,2613,1599,1387,31
717364458,Existing Customer,36,F,3,High School,Married,Less than RM40K,Blue,26,4331,1445,2053,33
778755858,Existing Customer,46,M,3,Graduate,Unknown,RM80K - RM120K,Blue,27,3665,1725,1881,55
710754933,Attrited Customer,61,F,0,Graduate,Married,Less than RM40K,Blue,49,1438.3,0,840,20
720007383,Attrited Customer,41,F,2,Unknown,Single,Unknown,Blue,28,4411,2517,803,15
810220833,Existing Customer,42,M,4,Graduate,Unknown,RM40K - RM60K,Silver,37,15871,2086,1562,43
718362783,Attrited Customer,35,M,2,Graduate,Married,RM80K - RM120K,Blue,27,12643,0,787,21
708267858,Existing Customer,65,F,0,High School,Married,RM40K - RM60K,Blue,36,6088,2145,2098,52
708856983,Attrited Customer,36,M,3,Post-Graduate,Married,RM120K +,Blue,27,13873,0,694,18
715588908,Existing Customer,42,F,4,Graduate,Single,Less than RM40K,Blue,32,6158,0,3132,66
772674933,Existing Customer,51,M,1,Uneducated,Married,RM80K - RM120K,Blue,41,5638,808,2036,50
720148983,Existing Customer,54,F,1,Uneducated,Married,Less than RM40K,Blue,40,2178,1144,1724,47
720650208,Existing Customer,40,F,3,College,Unknown,RM40K - RM60K,Blue,22,12588,2005,1561,26
769732233,Existing Customer,40,M,5,Graduate,Married,RM80K - RM120K,Blue,34,11942,1651,1085,29
713030958,Existing Customer,57,F,2,College,Married,Less than RM40K,Blue,44,3914,0,1964,54
711320508,Existing Customer,57,M,4,Graduate,Married,RM80K - RM120K,Blue,49,3038,1410,1762,34
795795408,Existing Customer,53,M,2,Uneducated,Married,RM40K - RM60K,Blue,47,5579,1423,1514,47
717904383,Existing Customer,40,M,2,Graduate,Married,RM80K - RM120K,Blue,31,18693,2052,1516,44
714115533,Existing Customer,28,M,0,Graduate,Married,Less than RM40K,Blue,18,2943,1789,2591,55
712475733,Existing Customer,38,F,3,High School,Married,Less than RM40K,Blue,28,2435,1888,1847,39
718996758,Existing Customer,37,F,2,Graduate,Married,Less than RM40K,Blue,30,2077,1392,1629,36
713049933,Existing Customer,65,F,1,High School,Married,Unknown,Blue,36,5756,0,2144,44
709961958,Attrited Customer,58,F,4,High School,Divorced,Unknown,Blue,45,21065,2517,1060,32
718301508,Existing Customer,41,M,2,High School,Married,RM60K - RM80K,Blue,30,9428,1765,1457,43
714831033,Existing Customer,54,M,5,Graduate,Married,RM80K - RM120K,Blue,47,6065,1728,1114,27
710653158,Existing Customer,39,F,4,Graduate,Married,Unknown,Blue,21,5024,1613,1925,40
721265883,Existing Customer,26,M,1,Graduate,Single,Less than RM40K,Blue,13,2174,1514,2510,44
715049583,Existing Customer,60,M,1,Unknown,Married,RM60K - RM80K,Blue,54,3398,2341,1169,31
715394883,Existing Customer,35,F,2,High School,Married,Unknown,Blue,36,4319,1151,1852,47
773448558,Existing Customer,46,M,3,Graduate,Divorced,RM80K - RM120K,Blue,40,3673,2292,1257,34
717249783,Existing Customer,47,M,4,Unknown,Unknown,RM60K - RM80K,Blue,39,1815,740,1931,67
708344358,Existing Customer,53,F,3,High School,Married,Unknown,Blue,45,2495,1354,1311,31
712003083,Existing Customer,55,M,1,Graduate,Married,RM80K - RM120K,Blue,36,34516,2102,1612,33
754282908,Existing Customer,50,F,1,Post-Graduate,Married,Less than RM40K,Blue,43,3368,844,2022,59
717412608,Attrited Customer,38,F,2,High School,Married,RM40K - RM60K,Blue,28,7225,0,738,16
719412258,Existing Customer,39,F,3,Graduate,Single,Less than RM40K,Blue,30,5202,815,1558,48
788675658,Existing Customer,39,F,2,Unknown,Single,Less than RM40K,Blue,29,1923,845,1670,37
717683583,Existing Customer,39,M,3,High School,Single,RM60K - RM80K,Blue,36,6929,1691,1388,27
820584408,Existing Customer,49,F,3,Graduate,Single,Less than RM40K,Blue,44,4364,1507,1392,38
719392833,Existing Customer,45,F,3,Graduate,Married,Less than RM40K,Blue,38,2400,1613,1311,34
718595583,Existing Customer,55,M,3,Graduate,Married,RM80K - RM120K,Blue,36,25878,1733,1777,54
778508883,Existing Customer,44,M,5,Graduate,Married,RM120K +,Blue,24,11876,1926,1367,33
715511658,Existing Customer,49,F,5,Post-Graduate,Unknown,RM40K - RM60K,Blue,39,4568,0,1431,27
711999783,Existing Customer,41,M,3,Uneducated,Married,RM80K - RM120K,Blue,31,4740,1348,1406,23
753856008,Existing Customer,49,F,2,Unknown,Unknown,RM40K - RM60K,Blue,42,4949,1495,3597,64
789920883,Existing Customer,45,F,3,Graduate,Single,Unknown,Blue,36,11189,2517,2959,58
788677533,Existing Customer,44,M,4,Unknown,Married,RM120K +,Blue,31,34516,1197,1594,43
716284308,Existing Customer,65,M,2,Graduate,Married,Unknown,Blue,55,6099,2175,1319,34
712120608,Attrited Customer,35,M,3,College,Married,RM80K - RM120K,Blue,27,3575,1884,861,15
715482483,Existing Customer,26,M,0,High School,Single,Unknown,Blue,36,3184,1421,2253,59
720848733,Existing Customer,38,M,1,High School,Married,RM80K - RM120K,Blue,24,13363,1230,1815,33
708480333,Existing Customer,65,M,0,Unknown,Single,RM40K - RM60K,Blue,36,2163,932,2229,57
826723308,Existing Customer,58,M,3,College,Married,RM120K +,Blue,54,3452,2088,1008,21
801369258,Existing Customer,47,F,5,Post-Graduate,Married,RM40K - RM60K,Blue,41,4466,777,1757,59
709584483,Existing Customer,33,F,3,Graduate,Married,Less than RM40K,Blue,25,3030,2517,1805,44
715708308,Existing Customer,54,F,3,Doctorate,Married,RM40K - RM60K,Blue,39,2112,1594,1338,29
779707308,Existing Customer,35,F,1,Graduate,Married,Less than RM40K,Blue,18,7583,1619,2229,53
711688158,Existing Customer,47,M,5,Graduate,Single,RM120K +,Blue,27,11760,2306,1498,49
711848658,Existing Customer,35,M,3,College,Married,RM60K - RM80K,Blue,17,2259,1776,1790,31
715855083,Existing Customer,48,M,4,High School,Married,RM80K - RM120K,Blue,36,19762,507,2793,67
778971408,Existing Customer,36,M,4,Doctorate,Married,RM60K - RM80K,Blue,17,2803,1848,1968,64
711648708,Existing Customer,44,M,3,Graduate,Married,RM80K - RM120K,Blue,36,25666,756,4088,84
713149683,Existing Customer,44,F,3,College,Single,Less than RM40K,Blue,24,9297,1668,1264,31
771903033,Existing Customer,36,F,1,Graduate,Married,Less than RM40K,Blue,25,2999,1247,2017,40
737925558,Existing Customer,64,M,0,Doctorate,Married,RM40K - RM60K,Blue,56,4234,1893,1439,42
803347908,Existing Customer,34,F,1,Graduate,Single,Less than RM40K,Gold,28,15987,0,2327,65
817285758,Existing Customer,49,M,4,Graduate,Single,RM80K - RM120K,Blue,33,16435,0,1721,56
711480108,Existing Customer,37,M,4,High School,Married,RM60K - RM80K,Blue,24,5335,2145,1888,43
709662708,Existing Customer,65,M,1,High School,Married,RM40K - RM60K,Blue,53,3506,1604,1953,61
709224858,Existing Customer,53,M,2,Post-Graduate,Married,RM80K - RM120K,Blue,36,3610,1629,1652,40
821771508,Existing Customer,32,M,0,High School,Married,RM40K - RM60K,Blue,28,3172,2055,1939,36
712216533,Existing Customer,44,M,5,Unknown,Single,RM80K - RM120K,Blue,34,8206,763,1715,43
710522433,Existing Customer,65,M,0,Graduate,Married,Less than RM40K,Blue,46,2416,1499,2372,53
779046408,Existing Customer,60,M,0,Graduate,Married,RM40K - RM60K,Blue,41,2458,1880,1238,30
708595158,Existing Customer,27,F,0,Graduate,Single,Less than RM40K,Blue,36,1677,1598,2389,43
757266933,Existing Customer,52,M,2,Post-Graduate,Married,RM60K - RM80K,Blue,45,11819,929,2431,46
816776283,Existing Customer,42,M,4,High School,Unknown,RM80K - RM120K,Gold,37,34516,1797,1534,30
719904333,Existing Customer,29,M,0,Graduate,Married,RM40K - RM60K,Blue,36,1459,590,2229,52
718264233,Existing Customer,29,M,0,High School,Married,RM40K - RM60K,Blue,13,1458,671,2449,56
784798683,Existing Customer,38,M,2,High School,Married,RM40K - RM60K,Blue,32,1438.3,0,1999,39
710899833,Attrited Customer,36,M,2,Graduate,Married,RM40K - RM60K,Blue,18,7758,1408,569,23
780025908,Existing Customer,40,F,2,Post-Graduate,Married,Less than RM40K,Silver,30,10836,1932,1293,31
713610033,Existing Customer,47,M,3,Post-Graduate,Single,RM60K - RM80K,Blue,36,5062,1996,1314,40
709364433,Existing Customer,36,F,3,High School,Married,Unknown,Blue,30,3399,2173,1571,34
713086908,Existing Customer,26,M,0,High School,Single,RM40K - RM60K,Blue,36,2212,1670,2520,51
709793133,Existing Customer,43,F,2,Unknown,Single,RM40K - RM60K,Blue,36,3186,2470,1531,37
710032608,Existing Customer,52,F,1,Graduate,Single,Less than RM40K,Blue,32,5927,2320,1558,46
779351208,Existing Customer,49,M,2,Unknown,Single,RM60K - RM80K,Blue,34,5176,0,1902,56
719776608,Existing Customer,50,M,2,Graduate,Married,RM80K - RM120K,Blue,37,3126,0,1388,41
709220583,Existing Customer,34,M,3,Graduate,Divorced,RM80K - RM120K,Blue,21,4670,0,2256,56
719555733,Existing Customer,53,F,2,Uneducated,Married,Unknown,Blue,36,2162,1592,1736,42
740852733,Existing Customer,49,M,3,High School,Married,RM80K - RM120K,Blue,42,10155,1805,1685,49
709528308,Existing Customer,53,M,4,High School,Married,RM80K - RM120K,Blue,46,15242,1170,1876,57
715127208,Existing Customer,48,M,3,Doctorate,Divorced,RM120K +,Blue,36,34516,2517,1699,48
817144458,Existing Customer,32,F,2,Graduate,Single,Less than RM40K,Blue,17,1438.3,1228,2580,67
710628783,Existing Customer,38,M,4,High School,Single,RM80K - RM120K,Gold,36,34516,1140,1445,45
772145658,Existing Customer,43,M,4,Uneducated,Single,RM80K - RM120K,Blue,32,16043,2036,1394,28
739594758,Attrited Customer,51,F,2,Graduate,Single,Less than RM40K,Blue,44,3181,2517,818,16
789198708,Existing Customer,58,M,3,Graduate,Married,RM120K +,Blue,47,27088,0,1135,24
720953658,Existing Customer,59,F,0,Graduate,Married,Less than RM40K,Blue,36,5688,914,1824,53
771330558,Existing Customer,51,M,4,High School,Married,RM60K - RM80K,Blue,38,10462,1824,1267,31
714078558,Attrited Customer,62,F,1,High School,Married,RM40K - RM60K,Blue,53,5249,0,1315,31
712207683,Existing Customer,38,M,0,Unknown,Divorced,Less than RM40K,Blue,36,5155,684,1555,37
788826408,Existing Customer,33,M,1,Uneducated,Married,RM120K +,Blue,16,10705,1352,2434,58
790128033,Existing Customer,54,M,3,High School,Single,RM80K - RM120K,Blue,47,16494,1348,1302,36
718082208,Existing Customer,37,F,1,Graduate,Married,RM40K - RM60K,Blue,30,6469,2351,1717,50
712037358,Existing Customer,30,M,0,Unknown,Married,RM60K - RM80K,Blue,23,5146,1773,1509,45
711711483,Existing Customer,61,M,0,High School,Married,RM80K - RM120K,Blue,50,2800,2448,1433,40
718861458,Existing Customer,49,M,5,Unknown,Single,RM60K - RM80K,Blue,36,5159,1532,1826,37
709426608,Existing Customer,56,M,1,Doctorate,Married,RM60K - RM80K,Blue,46,5248,1816,2305,45
811457058,Existing Customer,51,F,3,Post-Graduate,Married,Less than RM40K,Blue,46,5881,2005,1931,56
773073558,Existing Customer,44,F,3,Graduate,Divorced,Less than RM40K,Blue,36,1467,896,1731,54
715937133,Existing Customer,64,F,1,Uneducated,Married,RM40K - RM60K,Blue,52,4999,2299,1601,48
713480583,Existing Customer,46,F,3,High School,Married,Unknown,Blue,36,4668,0,1612,47
716383683,Existing Customer,39,F,2,Post-Graduate,Unknown,Less than RM40K,Blue,36,1438.3,0,1338,28
713693958,Existing Customer,38,F,1,Uneducated,Single,Less than RM40K,Blue,27,8638,0,1295,29
715443708,Existing Customer,53,M,1,Uneducated,Married,RM120K +,Blue,45,9343,1286,1385,31
770769483,Existing Customer,35,M,2,Post-Graduate,Married,RM40K - RM60K,Blue,21,2256,775,1749,33
789326808,Existing Customer,26,M,0,College,Single,RM60K - RM80K,Blue,15,8267,1720,1917,37
712105533,Existing Customer,32,M,2,High School,Single,RM40K - RM60K,Blue,20,2235,1638,2905,56
720674133,Existing Customer,36,M,1,Uneducated,Married,RM40K - RM60K,Blue,16,3735,2027,1672,48
779216358,Attrited Customer,48,M,2,College,Married,RM80K - RM120K,Blue,38,2111,0,773,17
717322833,Existing Customer,55,M,2,Unknown,Single,RM80K - RM120K,Blue,36,10604,1988,1578,30
710279508,Existing Customer,52,M,2,Graduate,Married,RM80K - RM120K,Blue,42,21782,1006,1537,35
712168833,Existing Customer,52,F,1,High School,Married,Less than RM40K,Blue,36,2133,1469,1426,37
780581508,Existing Customer,58,F,1,Doctorate,Single,RM40K - RM60K,Silver,47,16677,1590,1410,37
711957708,Existing Customer,38,F,2,Graduate,Married,Less than RM40K,Blue,36,2717,1591,2064,33
778782858,Existing Customer,60,M,1,Graduate,Single,Less than RM40K,Blue,48,3980,930,4449,82
712924383,Attrited Customer,55,M,3,Unknown,Single,RM60K - RM80K,Blue,36,8411,979,990,22
709366458,Existing Customer,43,F,3,College,Married,Less than RM40K,Blue,36,2227,1394,1972,41
796990908,Existing Customer,35,M,3,Post-Graduate,Single,RM80K - RM120K,Silver,29,34516,1872,2227,61
715702758,Existing Customer,38,F,4,Graduate,Married,Less than RM40K,Blue,36,1860,0,1731,29
788974608,Existing Customer,48,M,3,Graduate,Unknown,RM60K - RM80K,Blue,35,2829,2342,1561,41
714790008,Existing Customer,38,F,1,Unknown,Single,Less than RM40K,Blue,36,3764,0,1572,57
787438983,Existing Customer,43,M,3,College,Single,RM40K - RM60K,Blue,23,4559,1664,1652,37
713834358,Existing Customer,36,F,2,Post-Graduate,Married,Less than RM40K,Blue,25,4701,1492,1679,32
710084883,Existing Customer,34,M,2,College,Married,RM80K - RM120K,Blue,22,1631,0,2962,57
710736558,Existing Customer,39,F,2,Unknown,Married,Unknown,Blue,36,8096,1474,1794,41
788915283,Existing Customer,43,F,2,College,Single,Less than RM40K,Blue,29,2304,1589,1273,36
714916758,Existing Customer,48,F,2,Uneducated,Married,RM40K - RM60K,Blue,36,5210,0,1309,45
789611283,Existing Customer,44,M,4,Graduate,Married,RM40K - RM60K,Blue,38,5452,2091,1347,30
773288958,Existing Customer,38,M,1,Graduate,Married,RM60K - RM80K,Blue,31,7475,1473,1592,30
811721133,Existing Customer,62,M,1,High School,Married,RM40K - RM60K,Blue,56,2359,1242,2021,50
813961233,Existing Customer,30,M,0,Unknown,Single,RM80K - RM120K,Blue,25,4237,1676,2465,88
783020958,Existing Customer,39,M,3,Unknown,Married,RM80K - RM120K,Blue,33,18582,794,1836,46
715764483,Existing Customer,53,F,3,High School,Unknown,Less than RM40K,Blue,37,7202,974,1397,33
798110358,Existing Customer,64,F,1,High School,Married,RM40K - RM60K,Blue,56,1438.3,0,1417,35
